Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
1,Shai Gilgeous-Alexander,26,OKC,PG,53,53,34.0,11.2,21.5,.523,2.1,5.7,.359,9.2,15.8,.583,.571,7.9,8.8,.897,0.9,4.2,5.1,6.1,1.9,1.0,2.5,2.2,32.5,,2025
2,Giannis Antetokounmpo,30,MIL,PF,41,41,34.9,12.7,20.9,.608,0.1,0.8,.188,12.6,20.1,.624,.611,6.2,10.7,.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,,2025
3,Nikola Jokić,29,DEN,C,49,49,36.0,11.3,19.7,.577,2.0,4.5,.450,9.3,15.2,.615,.629,5.0,6.1,.823,3.0,9.6,12.6,10.2,1.8,0.7,3.1,2.2,29.8,,2025
4,Tyrese Maxey,24,PHI,PG,46,46,38.0,9.6,21.5,.447,3.3,9.6,.346,6.3,11.9,.528,.524,5.0,5.8,.872,0.3,3.2,3.5,6.1,1.9,0.4,2.5,2.3,27.6,,2025
5,Anthony Edwards,23,MIN,SG,54,54,36.7,9.1,20.8,.440,4.2,10.1,.414,4.9,10.7,.464,.540,5.0,5.9,.843,0.8,5.0,5.8,4.5,1.2,0.6,3.5,1.9,27.5,,2025
6,LaMelo Ball,23,CHO,PG,33,33,32.7,9.5,22.8,.416,4.0,11.9,.338,5.5,10.8,.503,.505,4.3,5.3,.822,0.9,4.2,5.1,7.2,1.3,0.3,3.6,3.3,27.3,,2025
7,Kevin Durant,36,PHO,PF,41,41,36.5,10.0,18.7,.532,2.4,5.9,.404,7.6,12.9,.590,.595,5.1,6.1,.825,0.4,5.6,6.0,4.2,0.9,1.4,3.1,1.8,27.3,,2025
8,Luka Dončić,25,2TM,PG,24,24,34.7,9.5,20.5,.460,3.3,9.5,.348,6.2,11.1,.556,.541,4.8,6.4,.753,0.8,7.3,8.0,7.5,1.9,0.4,3.4,2.8,27.0,,2025
9,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,2025
10,Luka Dončić,25,LAL,PG,2,2,23.5,5.5,13.5,.407,2.0,7.5,.267,3.5,6.0,.583,.481,2.0,4.0,.500,1.0,3.5,4.5,4.0,0.5,0.5,3.0,4.0,15.0,,2025
11,Jayson Tatum,26,BOS,PF,52,52,36.4,9.1,20.1,.455,3.6,10.2,.358,5.5,9.9,.553,.545,5.1,6.5,.795,0.6,8.1,8.7,5.6,1.2,0.5,2.8,2.2,27.0,,2025
12,Devin Booker,28,PHO,SG,48,48,37.2,8.6,18.9,.453,2.6,7.7,.339,6.0,11.2,.532,.522,6.4,7.2,.896,1.0,3.1,4.0,6.7,1.0,0.3,2.7,2.4,26.2,,2025
13,Jalen Brunson,28,NYK,PG,53,53,35.2,9.0,18.3,.492,2.3,5.8,.397,6.7,12.5,.535,.555,5.8,7.1,.816,0.4,2.4,2.8,7.5,0.9,0.1,2.4,2.2,26.1,,2025
14,Damian Lillard,34,MIL,PG,44,44,36.5,8.0,17.6,.452,3.5,9.1,.382,4.5,8.5,.527,.550,6.4,6.9,.921,0.6,4.2,4.7,7.5,1.2,0.2,3.0,1.8,25.8,,2025
15,Anthony Davis,31,2TM,PF,43,43,34.2,9.5,18.0,.528,0.7,2.2,.313,8.8,15.8,.559,.548,6.0,7.6,.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,,2025
16,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,,2025
17,Anthony Davis,31,DAL,PF,1,1,31.0,10.0,18.0,.556,2.0,2.0,1.000,8.0,16.0,.500,.611,4.0,6.0,.667,4.0,12.0,16.0,7.0,0.0,3.0,1.0,0.0,26.0,,2025
18,Cade Cunningham,23,DET,PG,50,50,35.5,9.5,20.9,.455,2.2,6.3,.351,7.3,14.6,.500,.508,4.2,4.9,.850,0.9,5.5,6.3,9.4,0.9,0.8,4.4,2.6,25.4,,2025
19,Franz Wagner,23,ORL,SF,36,36,33.0,9.1,19.5,.465,2.0,6.3,.317,7.1,13.2,.536,.516,4.9,5.7,.864,1.0,4.6,5.6,4.9,1.4,0.4,2.3,2.5,25.1,,2025
20,Joel Embiid,30,PHI,C,17,17,30.4,7.8,17.2,.454,1.4,4.1,.333,6.5,13.2,.491,.493,7.9,9.1,.870,1.9,6.6,8.5,4.5,0.8,1.0,3.4,2.3,24.9,,2025
21,Cam Thomas,23,BRK,SG,19,17,32.3,7.9,17.7,.448,2.8,7.6,.375,5.1,10.2,.503,.528,5.9,6.8,.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,,2025
22,Karl-Anthony Towns,29,NYK,C,49,49,34.9,8.9,16.6,.534,2.1,4.8,.438,6.8,11.9,.572,.596,4.9,5.8,.842,3.1,10.3,13.4,3.3,1.0,0.8,2.6,3.5,24.7,,2025
23,De'Aaron Fox,27,2TM,PG,50,50,36.8,9.1,19.3,.471,2.0,6.1,.319,7.1,13.1,.543,.522,4.5,5.5,.822,1.0,3.9,4.8,6.3,1.5,0.4,2.9,2.7,24.6,,2025
24,De'Aaron Fox,27,SAC,PG,45,45,37.0,9.2,19.6,.469,2.0,6.4,.322,7.2,13.3,.539,.521,4.5,5.5,.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,,2025
25,De'Aaron Fox,27,SAS,PG,5,5,35.8,8.0,16.0,.500,1.2,4.2,.286,6.8,11.8,.576,.538,4.4,5.8,.759,0.6,2.8,3.4,7.8,1.8,0.0,2.0,3.8,21.6,,2025
26,Kyrie Irving,32,DAL,SG,44,44,36.6,9.0,18.8,.478,2.9,7.1,.413,6.0,11.7,.517,.556,3.8,4.2,.902,1.2,3.6,4.8,4.8,1.3,0.4,2.3,2.0,24.6,,2025
27,Zion Williamson,24,NOP,PF,18,18,28.2,9.3,17.1,.547,0.2,0.7,.250,9.2,16.4,.559,.552,5.6,8.6,.649,2.7,4.7,7.4,5.0,1.3,0.9,3.1,3.0,24.4,,2025
28,LeBron James,40,LAL,SF,48,48,34.5,9.3,18.1,.516,2.2,5.6,.395,7.1,12.4,.571,.578,3.4,4.5,.759,0.9,6.9,7.7,9.0,0.9,0.5,3.8,1.4,24.3,,2025
29,Victor Wembanyama,21,SAS,C,46,46,33.2,8.9,18.6,.476,3.1,8.8,.352,5.8,9.9,.586,.559,3.4,4.1,.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,,2025
30,Norman Powell,31,LAC,SG,45,45,33.6,8.4,17.0,.496,3.4,7.8,.428,5.1,9.1,.555,.595,4.0,4.9,.819,0.4,3.2,3.6,2.2,1.3,0.2,2.1,1.9,24.2,,2025
31,Tyler Herro,25,MIA,SG,51,51,35.6,8.3,17.8,.465,3.7,9.7,.380,4.6,8.1,.567,.569,3.6,4.2,.854,0.4,5.2,5.5,5.5,0.8,0.1,2.7,1.4,23.9,,2025
32,Donovan Mitchell,28,CLE,SG,51,51,31.3,8.4,18.6,.454,3.6,9.2,.391,4.8,9.4,.516,.551,3.5,4.2,.835,0.7,3.7,4.4,4.8,1.4,0.2,2.0,2.0,23.9,,2025
33,Zach LaVine,29,2TM,SF,48,48,34.5,8.5,16.9,.501,3.1,7.3,.422,5.4,9.6,.562,.592,3.6,4.4,.817,0.3,4.3,4.6,4.6,0.9,0.2,2.8,1.5,23.7,,2025
34,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,,2025
35,Zach LaVine,29,SAC,SG,6,6,37.2,7.3,17.0,.431,2.0,7.7,.261,5.3,9.3,.571,.490,4.8,5.2,.935,0.3,2.7,3.0,5.0,1.0,0.2,2.3,1.7,21.5,,2025
36,Trae Young,26,ATL,PG,51,51,36.2,7.3,18.0,.407,2.9,8.7,.336,4.4,9.2,.473,.489,6.1,7.1,.857,0.5,2.7,3.2,11.5,1.2,0.2,4.8,2.0,23.7,,2025
37,Stephen Curry,36,GSW,PG,46,46,32.2,7.8,18.0,.434,4.4,11.2,.390,3.4,6.8,.508,.556,3.5,3.7,.924,0.6,4.0,4.5,6.1,1.0,0.5,2.9,1.3,23.4,,2025
38,Jaren Jackson Jr.,25,MEM,C,52,52,29.8,8.3,16.8,.495,1.9,5.3,.364,6.4,11.5,.556,.553,4.5,5.8,.772,1.4,4.6,6.0,2.2,1.3,1.6,2.3,3.3,23.0,,2025
39,Jaylen Brown,28,BOS,SF,46,46,35.3,8.5,18.5,.461,1.9,6.0,.324,6.6,12.5,.526,.513,4.0,5.3,.746,1.4,4.6,6.0,4.8,1.2,0.3,2.7,2.6,22.9,,2025
40,Paolo Banchero,22,ORL,PF,22,22,33.2,8.0,18.7,.427,1.7,5.5,.303,6.3,13.2,.479,.472,4.9,7.5,.652,1.1,6.0,7.1,5.0,0.6,0.8,3.1,2.2,22.5,,2025
41,CJ McCollum,33,NOP,PG,41,41,33.5,8.4,18.5,.455,3.2,8.3,.382,5.3,10.2,.514,.541,2.5,3.4,.723,0.7,3.0,3.7,3.7,0.8,0.5,1.8,2.3,22.5,,2025
42,Trey Murphy III,24,NOP,SF,39,37,35.6,7.5,16.2,.463,3.2,8.5,.376,4.3,7.7,.560,.562,4.3,4.8,.888,0.8,4.3,5.2,3.6,1.2,0.7,1.8,2.2,22.4,,2025
43,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,,2025
44,DeMar DeRozan,35,SAC,SF,50,50,36.0,8.1,16.6,.487,1.0,2.9,.340,7.1,13.7,.518,.517,4.7,5.5,.864,0.5,3.3,3.9,3.7,1.0,0.4,1.4,1.9,21.9,,2025
45,RJ Barrett,24,TOR,SF,42,42,33.2,8.2,17.3,.473,1.8,5.2,.350,6.4,12.1,.527,.526,3.5,5.4,.648,1.0,5.6,6.6,5.6,0.9,0.3,3.0,2.6,21.7,,2025
46,Darius Garland,25,CLE,PG,52,52,30.2,7.8,15.6,.498,3.0,7.0,.431,4.8,8.6,.552,.594,3.1,3.5,.875,0.6,1.9,2.5,6.7,1.1,0.2,2.5,2.1,21.6,,2025
47,James Harden,35,LAC,PG,51,51,34.3,6.3,15.9,.394,2.8,8.2,.342,3.5,7.7,.449,.482,6.1,6.9,.887,0.6,5.2,5.8,8.6,1.5,0.6,4.5,2.1,21.5,,2025
48,Jalen Green,22,HOU,SG,55,55,33.2,7.5,17.6,.425,2.8,8.1,.350,4.7,9.5,.489,.505,3.4,4.0,.842,0.6,3.7,4.3,3.0,0.8,0.3,2.5,1.7,21.2,,2025
49,Jordan Poole,25,WAS,SG,47,47,31.4,6.9,16.5,.418,3.5,9.5,.371,3.4,7.0,.480,.524,3.9,4.4,.875,0.5,2.7,3.2,4.9,1.4,0.5,3.4,3.2,21.2,,2025
50,Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,,2025
51,Jamal Murray,27,DEN,PG,48,48,36.0,7.9,16.7,.471,2.1,5.7,.375,5.7,11.0,.521,.535,3.1,3.6,.872,0.6,3.3,3.9,6.1,1.5,0.5,2.1,1.9,21.0,,2025
52,Jalen Williams,23,OKC,SG,51,51,32.6,8.1,17.0,.479,1.7,4.9,.343,6.5,12.1,.533,.528,3.0,3.9,.775,0.9,4.6,5.5,5.1,1.7,0.7,2.2,2.4,21.0,,2025
53,Ja Morant,25,MEM,PG,32,32,28.8,7.1,15.9,.447,1.6,4.9,.321,5.5,11.0,.503,.496,4.9,6.1,.810,0.7,3.6,4.3,7.4,1.3,0.3,3.8,1.8,20.7,,2025
54,Pascal Siakam,30,IND,PF,53,53,33.2,7.9,15.1,.526,1.7,4.2,.408,6.2,10.9,.572,.583,3.1,4.0,.777,1.7,5.5,7.3,3.4,1.0,0.5,1.3,2.6,20.7,,2025
55,Domantas Sabonis,28,SAC,C,52,52,36.1,8.0,13.3,.600,1.1,2.4,.455,6.9,11.0,.632,.641,3.3,4.4,.751,4.2,10.4,14.6,6.2,0.6,0.4,3.0,3.6,20.4,,2025
56,Scottie Barnes,23,TOR,PF,42,42,34.6,7.6,17.0,.447,1.3,4.9,.266,6.3,12.1,.521,.485,3.6,4.6,.769,1.5,6.4,7.9,6.3,1.5,1.1,3.0,2.0,20.1,,2025
57,Lauri Markkanen,27,UTA,PF,41,41,32.1,6.4,14.9,.432,3.0,8.4,.353,3.5,6.5,.536,.532,3.7,4.3,.869,1.6,4.5,6.1,1.6,0.8,0.4,1.4,1.8,19.6,,2025
58,Miles Bridges,26,CHO,PF,38,38,32.1,7.2,16.6,.431,2.0,6.7,.302,5.1,9.9,.519,.492,3.2,3.7,.864,1.1,6.7,7.7,3.8,0.7,0.6,2.0,1.5,19.5,,2025
59,Kristaps Porziņģis,29,BOS,C,29,29,29.0,6.6,13.7,.480,2.4,6.0,.405,4.2,7.8,.538,.568,3.8,4.7,.822,1.6,5.4,7.0,2.0,0.8,1.6,1.1,2.8,19.4,,2025
60,Cameron Johnson,28,BRK,PF,39,39,31.9,6.4,13.0,.488,3.1,7.5,.413,3.3,5.5,.591,.607,3.3,3.6,.894,0.8,3.3,4.2,2.9,0.8,0.5,1.6,1.7,19.1,,2025
61,Austin Reaves,26,LAL,SG,47,47,34.8,6.2,13.9,.446,2.6,7.1,.359,3.7,6.8,.538,.538,4.1,4.8,.862,0.9,3.6,4.4,6.2,1.2,0.2,2.4,2.0,19.1,,2025
62,Nikola Vučević,34,CHI,C,54,54,32.1,7.8,14.5,.539,1.7,4.6,.382,6.1,9.9,.611,.599,1.8,2.2,.814,2.4,7.9,10.3,3.5,0.9,0.7,1.6,2.4,19.1,,2025
63,Michael Porter Jr.,26,DEN,SF,52,52,33.3,7.2,13.7,.523,2.7,6.4,.417,4.5,7.3,.616,.621,1.9,2.6,.743,1.7,4.8,6.5,2.2,0.6,0.5,1.4,1.8,19.0,,2025
64,Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,2025
65,Julius Randle,30,MIN,PF,48,48,32.6,6.6,14.0,.470,1.5,4.6,.321,5.1,9.4,.542,.522,4.2,5.2,.811,2.1,5.0,7.2,4.5,0.7,0.2,2.8,2.5,18.9,,2025
66,De'Andre Hunter,27,2TM,SF,39,5,28.6,6.1,13.1,.462,2.7,6.7,.400,3.4,6.4,.526,.564,4.0,4.7,.857,0.7,3.2,3.9,1.5,0.8,0.1,1.5,2.5,18.8,,2025
67,De'Andre Hunter,27,ATL,SF,37,4,28.8,6.1,13.3,.461,2.6,6.7,.393,3.5,6.6,.531,.560,4.1,4.8,.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,,2025
68,De'Andre Hunter,27,CLE,SF,2,1,25.0,4.5,9.5,.474,3.5,6.5,.538,1.0,3.0,.333,.658,2.5,3.0,.833,0.0,3.0,3.0,0.0,1.0,0.0,0.5,4.5,15.0,,2025
69,Alperen Şengün,22,HOU,C,52,52,31.1,7.4,15.1,.491,0.3,1.4,.230,7.1,13.7,.518,.502,3.6,5.2,.694,3.3,7.2,10.5,4.9,1.2,0.8,2.4,2.8,18.8,,2025
70,Anfernee Simons,25,POR,SG,51,51,32.4,6.6,15.4,.426,3.0,8.1,.374,3.5,7.3,.483,.524,2.4,2.7,.905,0.3,2.4,2.7,5.0,0.8,0.1,2.1,1.8,18.6,,2025
71,Evan Mobley,23,CLE,PF,48,48,30.0,7.2,12.6,.569,1.1,2.8,.378,6.1,9.8,.623,.611,3.1,4.1,.754,2.2,7.0,9.1,3.0,0.9,1.5,1.9,2.1,18.5,,2025
72,Collin Sexton,26,UTA,SG,46,44,28.5,6.5,13.6,.478,1.9,4.6,.412,4.6,9.0,.511,.547,3.5,3.9,.894,1.1,1.8,2.9,4.1,0.7,0.1,2.5,2.3,18.3,,2025
73,Coby White,24,CHI,SG,48,48,32.6,6.1,14.3,.427,3.0,8.2,.371,3.0,6.0,.503,.534,3.0,3.3,.894,0.4,3.0,3.3,4.5,0.9,0.2,2.4,2.2,18.2,,2025
74,Desmond Bane,26,MEM,SG,43,42,30.5,6.8,13.8,.496,2.3,5.7,.393,4.6,8.0,.569,.578,2.2,2.6,.856,0.9,4.9,5.8,5.4,1.2,0.4,2.6,2.4,18.1,,2025
75,John Collins,27,UTA,PF,36,27,30.5,6.6,12.6,.524,1.4,3.4,.423,5.1,9.1,.562,.582,3.5,4.0,.876,2.2,6.0,8.2,2.1,1.0,1.1,2.7,3.0,18.1,,2025
76,Malik Monk,26,SAC,SG,47,34,32.6,6.6,15.1,.439,2.3,6.9,.325,4.4,8.1,.537,.514,2.6,2.9,.877,0.4,3.4,3.8,5.9,1.0,0.6,2.3,2.7,18.1,,2025
77,Tyrese Haliburton,24,IND,PG,52,52,34.0,6.2,13.8,.449,2.9,7.8,.369,3.3,6.0,.555,.554,2.5,3.0,.846,0.6,3.0,3.6,8.5,1.3,0.7,1.8,1.3,17.8,,2025
78,Mikal Bridges,28,NYK,SF,54,54,38.2,7.3,14.8,.492,2.3,6.4,.359,5.0,8.4,.593,.569,0.9,1.1,.742,0.9,2.3,3.1,3.3,1.0,0.5,1.5,1.5,17.7,,2025
79,Jimmy Butler,35,2TM,SF,29,29,30.9,5.8,11.0,.524,0.5,1.5,.326,5.3,9.5,.554,.545,5.6,6.9,.811,2.5,3.0,5.5,4.9,1.1,0.4,1.2,1.1,17.6,,2025
80,Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,,2025
81,Jimmy Butler,35,GSW,SF,4,4,32.5,6.3,14.0,.446,0.3,1.8,.143,6.0,12.3,.490,.455,8.5,10.0,.850,4.3,2.8,7.0,5.3,1.3,0.5,1.3,2.0,21.3,,2025
82,Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,,2025
83,Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,.393,1.7,5.6,.299,4.6,10.3,.444,.445,3.3,4.0,.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,,2025
84,Bradley Beal,31,PHO,SG,37,23,32.4,6.6,13.3,.495,2.0,5.1,.401,4.5,8.2,.553,.571,2.2,2.7,.810,0.7,2.7,3.4,3.4,1.1,0.6,2.0,2.6,17.4,,2025
85,Andrew Wiggins,29,2TM,SF,45,45,30.2,6.0,13.6,.438,2.2,5.8,.372,3.8,7.8,.487,.517,3.2,4.2,.777,1.6,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.3,,2025
86,Andrew Wiggins,29,GSW,SF,43,43,30.1,6.1,13.7,.444,2.2,5.8,.379,3.9,7.9,.491,.524,3.2,4.2,.777,1.5,3.0,4.6,2.3,0.9,0.8,1.3,1.6,17.6,,2025
87,Andrew Wiggins,29,MIA,SF,2,2,32.5,3.5,12.0,.292,1.5,6.5,.231,2.0,5.5,.364,.354,3.5,4.5,.778,2.0,2.5,4.5,4.0,1.0,1.0,1.5,1.5,12.0,,2025
88,Shaedon Sharpe,21,POR,SG,47,31,30.2,6.4,14.4,.443,1.9,6.1,.309,4.5,8.2,.543,.509,2.5,3.1,.801,0.7,3.1,3.8,2.5,0.8,0.2,1.8,1.8,17.1,,2025
89,Jordan Clarkson,32,UTA,SG,30,7,26.3,5.7,13.7,.417,2.4,6.3,.379,3.3,7.4,.450,.505,3.1,3.9,.803,0.6,2.7,3.3,3.9,0.8,0.3,2.1,1.6,17.0,,2025
90,Jonathan Kuminga,22,GSW,PF,32,10,26.0,6.1,13.2,.459,1.3,3.6,.345,4.8,9.6,.502,.506,3.4,5.3,.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,,2025
91,Bam Adebayo,27,MIA,C,51,51,34.0,6.5,13.7,.471,0.8,2.6,.299,5.7,11.1,.512,.500,3.0,4.1,.733,2.6,7.5,10.1,4.5,1.2,0.8,2.2,2.2,16.7,,2025
92,Bennedict Mathurin,22,IND,SF,51,44,31.5,5.8,12.3,.475,1.5,4.2,.355,4.4,8.1,.536,.535,3.4,4.2,.818,1.3,4.4,5.7,1.9,0.6,0.4,1.9,2.4,16.6,,2025
93,Malik Beasley,28,DET,SG,55,12,27.6,5.8,13.2,.438,3.9,9.4,.418,1.8,3.8,.488,.587,1.1,1.6,.667,0.6,2.3,2.9,1.7,1.0,0.0,1.0,1.5,16.5,,2025
94,OG Anunoby,27,NYK,PF,49,49,36.3,6.2,12.8,.482,2.1,5.8,.365,4.1,7.0,.577,.564,1.9,2.4,.792,1.3,3.4,4.7,2.0,1.4,0.9,1.3,2.3,16.4,,2025
95,Keyonte George,21,UTA,PG,44,32,31.6,5.3,13.5,.395,2.5,7.5,.334,2.8,5.9,.471,.488,3.3,4.0,.818,0.4,3.2,3.6,6.0,0.7,0.2,2.9,1.8,16.4,,2025
96,Kawhi Leonard,33,LAC,SF,15,15,26.0,6.5,14.1,.464,1.5,4.3,.359,5.0,9.8,.510,.519,1.7,2.1,.813,0.6,4.0,4.6,2.7,1.0,0.5,2.1,1.3,16.3,,2025
97,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,2025
98,Paul George,34,PHI,PF,35,35,32.1,5.9,13.9,.426,2.3,6.5,.363,3.6,7.4,.481,.510,2.0,2.4,.821,0.6,4.7,5.3,4.4,1.8,0.5,2.6,2.5,16.1,,2025
99,Derrick White,30,BOS,SG,52,52,33.7,5.5,12.5,.441,3.3,8.8,.378,2.2,3.7,.592,.574,1.8,2.1,.838,0.9,3.3,4.2,4.3,0.8,1.1,1.6,1.8,16.1,,2025
100,Damion Baugh,24,CHO,SG,1,0,27.0,5.0,8.0,.625,2.0,4.0,.500,3.0,4.0,.750,.750,4.0,4.0,1.000,0.0,5.0,5.0,3.0,1.0,0.0,2.0,3.0,16.0,,2025
101,Devin Vassell,24,SAS,SG,37,26,30.5,6.1,13.9,.437,2.3,6.4,.354,3.8,7.5,.507,.518,1.5,2.0,.753,0.6,2.9,3.5,2.9,1.2,0.5,1.5,1.5,15.9,,2025
102,Mark Williams,23,CHO,C,23,20,25.0,6.1,10.4,.586,0.0,0.0,.000,6.1,10.3,.588,.586,3.4,4.3,.780,3.3,6.3,9.6,2.5,0.7,1.2,1.0,2.6,15.6,,2025
